ID,Question,Option0,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,CorrectIndex
q1,"Ensuring proper collection, preservation, and safeguarding of federal records is the responsibility of _____.",Unit Commanders,Unit Records Managers,Base Records Managers,"All Department of the Air Force Personnel (military, civilians, contractors)",,,,,,,3
q2,Which statement is NOT true as it pertains to maintaining an effective records management program?,It's used to preserve our nation's history.,It assists with mission planning and operations,It allows for informed decision making at all levels within the chain.,Individuals cannot be held liable for records not properly maintained/disposed of.,,,,,,,3
q3,Which of the following documents are considered a record?,Routing Slip,Air Force Times,CMSAF Post on Twitter,Signed Appointment Letter,Selfie with the First Sergeant,AF Achievement Medal with Order Number,,,,,"2,3,5"
q4,"This type of document is created or received during peacetime, wartime, or contingency operations and once released it cannot be altered.",Draft,Record,Non-Record,Personal Record,,,,,,,1
q5,Which of the following statements most accurately describes a permanent record?,Destroyed after a specific time period,Has enduring historical value,Held anywhere from 1 day to 100 years,Kept forever,Transferred to National Archives for preservation,The vast majority of Air Force records,,,,,"1,3,4"
q6,Emergency Operating records and Legal and Financial Rights records are considered _____.,Non-Records,Essential Records,Temporary Records,Operational Records,,,,,,,1
q7,Which of the following shows the record lifecycle phases in the appropriate sequence?,"Creation, Maintenance and Use, Disposition","Maintenance and Use, Creation, Disposition","Disposition, Creation, Maintenance and Use","Maintenance and Use, Disposition, Creation",,,,,,,0
q8,To be considered an official record the document must be _____.,drafted and routed,"filed, used, or printed","signed, approved, or relesased","retrieved, disseminated, or duplicated",,,,,,,2
q9,An action that requires you to search for information and prevent it from being destroyed until the freeze is lifted is known as a _____.,Records Hold,Litigation Hold,Litigation Freeze,Records Discovery,,,,,,,1
q10,"At a minimum, members leaving federal service require permission from their records professional to remove documents, with the exception of _____.",Extra Copies,Non-Records,Official Records,Personal Documents,,,,,,,3
q11,"When responding to litigation holds, FOIA requests, investigations, or inquiries you must provide all responsive _____.",messages,messages and emojis,messages and attachments,"messages, attachments, and emojis",,,,,,,3
q12,"Once texts or electronic messages are assessed as being official records, how long do you have to transfer them to the office repository?",24 hours,48 hours,5 duty days,10 duty days,,,,,,,1
