ID,Question,Option0,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,CorrectIndex
q1,Which evasion aids can assist you with making contact with the local population? (Select all that apply),Pointee-Talkee,Blood Chit,Signaling devices,Camouflage,,,,,,,"0,1"
q2,"Should your captors provide an opportunity to communicate using written, oral, or video means, you should:",Not provide information regarding physical condition,Organize to meet captives needs,Provide proof of life,Be nice to the captors to improve your treatment,,,,,,,2
q3,Continuously learning about your captivity environment and the captor is known as ___________________.,situational awareness,personal protection,coping skills,captivity resolution,,,,,,,0
q4,What are some methods to purify water? (Select all that apply),Filtering water with tightly woven material,Purifying with a commercial micro filter,Chemically treating water with chlorine or iodine,Boiling vigorously for at least one minute,,,,,,,"1,2,3"
q5,The two types of reporting isolating events are observer-reported and media reporting.,False,True,,,,,,,,,0
q6,"Upon your release, a DoD Public Affairs Officer (PAO) will be available to help you. Their goal is to ____________________________. (Select all that apply)",help you regain control over your life,coordinate your interactions with the media,get the true story out to the world,protect any classified information,,,,,,,"0,1"
q7,The Evasion Plan of Action (EPA) provides recovery forces the following information should you become isolated. (Select all that apply),Your evasion intentions and key recovery information,It helps them to anticipate your actions and intentions,The disposition of hostile forces,Details the methods and procedures you intend to use to communicate with recovery forces,,,,,,,"0,1,3"
q8,"The three basic food sources during isolation are packed rations, animals and insects, and plants.",True,False,,,,,,,,,0
q9,"Limiting the amount of personal information available to others includes reducing your __________________ footprint, and personal information items not required for your operational mission such as credit cards and other identifiable items in yhour wallet or purse.",social media,carbon,mailing list,organizational membership,,,,,,,0
q10,"During operations outside declared hostilities, you may delay contact with local authorities.",True,False,,,,,,,,,0
q11,"In the event of isolation during operations other than war, the reasons to delay contact with legitimate authorities include. (Select all that apply)",Contact friendly forces,Lack of control,Gain situational awareness,Prevent recognition,,,,,,,"0,2"
q12,The Principles of Behavior outline your moral obligations and behavioral expectations from isolation to captivity resolution.,False,True,,,,,,,,,1
q13,What should you do during USG negotiations for your release? (Select all that apply),Sign a parole agreement for release,Maintain your honor and communicate your innocence,Have faith in the USG,Remain professional and avoid exploitation,,,,,,,"1,2,3"
q14,Which of the following are used to control bleeding? (Select all that apply),Use a tourniquet,Apply direct pressure,Clean with water,Elevate and immobilize,,,,,,,"0,1,3"
q15,Resistance to exploitation is a BATTLE OF WITS with your captor.,True,False,,,,,,,,,1
q16,Which of the following are criteria for selecting a shelter site? (Select all that apply),The area is large enough to stand in,"Provides natural protection from environment,hazards, and threats",The area is large enough for you and your equipment,Sufficient materials are available for constructing a shelter,,,,,,,"1,2,3"
q17,"Leaving evidence of your presence supports U.S. Government effort to locate, identify and recover you.",True,False,,,,,,,,,0
q18,One way to gain acceptance from the local population after making contact is to discuss the similarities between your religions. This helps to show you are peaceful and mean them no harm.,True,False,,,,,,,,,1
q19,Which Principle of Behavior expects you to resist adversary exploitation despite the pervasive physical and environmental control retained by the captor?,Principle I,Principle II,Principle III,Principle IV,,,,,,,3
q20,Actions to take when capture is imminent include. (Select all that apply),Leave evidence of presence at capture point,Sanitize personal or sensitive materials,Try to retain your personal cell phone,Communicate your situation,,,,,,,"0,1,2,3"
q21,The Principles of Behavior describe the _______________ for DoD civilian personnel when held against their will by entities hostile to the U.S.,civilian directive,moral obligations,moral guide,direct order,,,,,,,1
q22,You should limit your communication with the captor to which of the following? (Select all that apply),Identify yourself,Ask to be returned to U.S. control,Address health and welfare concerns,State the innocent circumstances leading to capture,,,,,,,"0,1,2,3"
q23,"What are pre-deployment document requires you to provide, four personal authentication statements, full front and right side photographs, and fingerprints?",DD Form 1833 Isolated Personnel Report (ISOPREP),Defense Legal Next of Kin Notification Form,Defense Enrolment Eligibility Reporting System (DEERS),DD Form 2 Military ID card,,,,,,,0
q24,Identify steps in building a fire. (Select all that apply),"Once the tinder is burning, add large amounts of fuel","Perepare adequate amounts of tinder, kindling, and fuel","Carefully place small, dry kindling over the burning tinder",Use a platform,,,,,,,"1,2,3"
q25,"Tactical hand-held radio transeivers, cell phones, satellite phones, and personal locator beacons (PLBs) are devices you could use for electronic communication.",True,False,,,,,,,,,0
q26,What are some de-escalation strategies personnel can use to discourage captor violence?,Surprise the captors,Speak quickly,Maintain a low profile,Be conscious of your body language,,,,,,,"2,3"
q27,The weakened state of the captives' ______________ reduces their capacity to collectively resist adversary exploitation efforts. Acceptance of special favors also provides an opening for an adversary's future exploitation efforts against you.,military bearing,health,support,organization,,,,,,,3
q28,Identify some posture and resistance constants of an effective resistance posture. (Select all that apply),Bounce back,Respond quickly,Stall,Control emotions,,,,,,,"0,2,3"
q29,During a hole-up what is your primary concern?,Security,Rest,Fire,Food and water,,,,,,,0
q30,"What evasion aid is tailored to cover an individual operational area, combining standard navigation charts and maps with evasion and survival information?",Handheld GPS,Evasion chart,Pointee-Talkee,Blood chit,,,,,,,1
q31,"When questioned, should you become a prisoner of war, the Geneva Conventions, requires, but does not prohibit, you from identifying yourself to your captors. Which Principle of Behavior does the statement above refer?",Principle I,Principle II,Principle III,Principle IV,,,,,,,3
q32,As part of your resistance posture you should portray _________ at all times.,arrogance,innocence,confidence,knowledge,,,,,,,1
q33,When providing proof of life what information should you include? (Select all that apply),A verifiable date,Your religious beliefs,Your health and welfare,You and your fellow captives' identities,,,,,,,"0,2,3"
